Bridge ID,From,To,Status,Damage State,Probability,Functionality
B1,B11,B12,pre-retrofit,S,0.997785904,0.747507462
B1,B11,B12,pre-retrofit,M,0.778973565,0.289257361
B1,B11,B12,pre-retrofit,E,0.372601063,0.039042695
B1,B11,B12,pre-retrofit,C,0.001501471,0.01867954
B1,B11,B12,retrofit,S,0.422350876,0.747507462
B1,B11,B12,retrofit,M,0.016650536,0.289257361
B1,B11,B12,retrofit,E,0.005483145,0.039042695
B1,B11,B12,retrofit,C,0.000437174,0.01867954
B2,B21,B22,pre-retrofit,S,0.998546316,0.747507462
B2,B21,B22,pre-retrofit,M,0.815984332,0.289257361
B2,B21,B22,pre-retrofit,E,0.423269475,0.039042695
B2,B21,B22,pre-retrofit,C,0.002284117,0.01867954
B2,B21,B22,retrofit,S,0.4682726,0.747507462
B2,B21,B22,retrofit,M,0.022101307,0.289257361
B2,B21,B22,retrofit,E,0.007601622,0.039042695
B2,B21,B22,retrofit,C,0.000659421,0.01867954
B3,B31,B32,pre-retrofit,S,0.995291809,0.747507462
B3,B31,B32,pre-retrofit,M,0.889437708,0.289257361
B3,B31,B32,pre-retrofit,E,0.672375647,0.039042695
B3,B31,B32,pre-retrofit,C,0.070134082,0.01867954
B3,B31,B32,retrofit,S,0.681115841,0.747507462
B3,B31,B32,retrofit,M,0.108546399,0.289257361
B3,B31,B32,retrofit,E,0.061521146,0.039042695
B3,B31,B32,retrofit,C,0.014315152,0.01867954
B4,B41,B42,pre-retrofit,S,0.99911766,0.747507462
B4,B41,B42,pre-retrofit,M,0.853145715,0.289257361
B4,B41,B42,pre-retrofit,E,0.482578676,0.039042695
B4,B41,B42,pre-retrofit,C,0.003614063,0.01867954
B4,B41,B42,retrofit,S,0.521114142,0.747507462
B4,B41,B42,retrofit,M,0.030081204,0.289257361
B4,B41,B42,retrofit,E,0.010868334,0.039042695
B4,B41,B42,retrofit,C,0.001037491,0.01867954
B5,B51,B52,pre-retrofit,S,0.997207946,0.747507462
B5,B51,B52,pre-retrofit,M,0.756175792,0.289257361
B5,B51,B52,pre-retrofit,E,0.344707331,0.039042695
B5,B51,B52,pre-retrofit,C,0.001174615,0.01867954
B5,B51,B52,retrofit,S,0.396682412,0.747507462
B5,B51,B52,retrofit,M,0.014099911,0.289257361
B5,B51,B52,retrofit,E,0.004529336,0.039042695
B5,B51,B52,retrofit,C,0.000344174,0.01867954
B6,B61,B62,pre-retrofit,S,0.990008676,0.747507462
B6,B61,B62,pre-retrofit,M,0.82987255,0.289257361
B6,B61,B62,pre-retrofit,E,0.570089115,0.039042695
B6,B61,B62,pre-retrofit,C,0.040520759,0.01867954
B6,B61,B62,retrofit,S,0.559625108,0.747507462
B6,B61,B62,retrofit,M,0.059961355,0.289257361
B6,B61,B62,retrofit,E,0.031235961,0.039042695
B6,B61,B62,retrofit,C,0.006047809,0.01867954
B7,B71,B72,pre-retrofit,S,0.991147665,0.747507462
B7,B71,B72,pre-retrofit,M,0.84103617,0.289257361
B7,B71,B72,pre-retrofit,E,0.587712613,0.039042695
B7,B71,B72,pre-retrofit,C,0.044602076,0.01867954
B7,B71,B72,retrofit,S,0.580661183,0.747507462
B7,B71,B72,retrofit,M,0.066609053,0.289257361
B7,B71,B72,retrofit,E,0.035197163,0.039042695
B7,B71,B72,retrofit,C,0.007029039,0.01867954
B8,B81,B82,pre-retrofit,S,0.993671833,0.747507462
B8,B81,B82,pre-retrofit,M,0.868703633,0.289257361
B8,B81,B82,pre-retrofit,E,0.634284792,0.039042695
B8,B81,B82,pre-retrofit,C,0.057276795,0.01867954
B8,B81,B82,retrofit,S,0.636109688,0.747507462
B8,B81,B82,retrofit,M,0.087384635,0.289257361
B8,B81,B82,retrofit,E,0.047969261,0.039042695
B8,B81,B82,retrofit,C,0.010408646,0.01867954
B9,B91,B92,pre-retrofit,S,0.997431257,0.747507462
B9,B91,B92,pre-retrofit,M,0.764571585,0.289257361
B9,B91,B92,pre-retrofit,E,0.354716462,0.039042695
B9,B91,B92,pre-retrofit,C,0.001284548,0.01867954
B9,B91,B92,retrofit,S,0.405928512,0.747507462
B9,B91,B92,retrofit,M,0.01498137,0.289257361
B9,B91,B92,retrofit,E,0.004855984,0.039042695
B9,B91,B92,retrofit,C,0.000375478,0.01867954
