ArcID,Description,From,To,Bidirection,Length(mile),SpeedLimit(mile/h),ArcAltitude,FlowCapacity(vechile/hour),LoadCapacity (t),TrafficFlow,Retrofit Cost
L5,local street,E1,R1,1,1.311381228,30,0,750,1000,2326,0
L1,local street,I1,B11,1,0.505397548,30,0,750,1000,2514,0
L2,local street,B12,P1,1,0.45622168,30,0,750,1000,2514,0
L32,local street,B52,R2,1,0.821173355,30,0,750,1000,478,0
L6,local street,P1,E2,1,1.144981127,30,0,750,1000,1771,0
L91,local street,R2,B61,1,1.19719419,30,0,750,1000,178,0
L8,local street,R2,R3,1,1.207162386,30,0,750,1000,781,0
L15,local street,R3,P5,1,0.812286056,30,0,750,1000,7725,0
L122,local street,B72,R4,1,0.918894665,30,0,750,1000,1105,0
L16,local street,R4,I5,1,0.812286056,30,0,750,1000,584,0
L232,local street,B92,R7,1,0.556469854,30,0,750,1000,584,0
L20,local street,P5,I5,1,1.911261308,30,0,750,1000,1,0
L222,local street,B82,R6,1,0.749526465,30,0,750,1000,5387,0
L32,local street,R7,I7,1,1.002820431,30,0,750,1000,1,0
L30,local street,R6,P7,1,1.0225248,30,0,750,1000,503,0
H4,HW0,P7,I7,1,1.376406744,30,0,1120,1000,1,0
L28,local street,R6,R7,1,1.24231985,30,0,750,1000,4714,0
L31,local street,R7,P7,1,1.609010745,30,0,750,1000,526,0
H2,HW0,I6,B41,1,0.898343645,30,0,1120,1000,1175,0
H3,HW0,B42,P7,1,0.883085646,30,0,1120,1000,1175,0
L29,local street,R5,I6,1,0.99385588,30,0,750,1000,936,0
L26,local street,R5,B31,1,0.382252262,30,0,750,1000,1345,0
L27,local street,B32,R6,1,1.391089855,30,0,750,1000,1345,0
L19,local street,B22,P5,1,0.793173443,30,0,750,1000,11076,0
L18,local street,P4,B21,1,0.683634135,30,0,750,1000,11076,0
L25,local street,E3,R5,1,0.649828559,30,0,750,1000,3550,0
IS4,I-99,P3,I3,1,0.974743267,70,0,1120,1000,3716,0
L17,local street,P3,P4,1,0.898292815,30,0,750,1000,5249,0
L11,local street,I2,P2,1,1.012968493,30,0,750,1000,3418,0
L14,local street,P2,P4,1,0.820340873,30,0,750,1000,5410,0
IS3,I-99,I2,P3,1,0.812286056,70,0,1120,1000,2085,0
IS2,I-99,I1,I2,1,1.204094624,70,0,1120,1000,1775,0
L10,local street,R1,I2,1,0.965186961,30,0,750,1000,1208,0
L13,local street,R1,P3,1,1.261504857,30,0,750,1000,5575,0
IS5,I-99,I3,P6,1,0.401364875,70,0,1120,1000,239,0
IS6,I-99,P6,I4,1,0.602047312,70,0,1120,1000,239,0
H1,HW0,I4,I6,1,1.261468661,30,0,1120,1000,239,0
IS7,I-99,I4,V2,1,0.602040851,70,0,1120,1000,1,0
H5,HW0,I7,V3,1,1.107747495,30,0,1120,1000,1,0
IS1,I-99,V1,I1,1,1.136941568,70,0,1120,1000,1,0
B1,Bridge,B11,B12,1,0.032236652,30,0,750,1000,2514,44.61677136
B2,Bridge,B21,B22,1,0.013976243,30,0,750,1000,11076,19.34365936
B3,Bridge,B31,B32,1,0.023243514,30,0,750,1000,1345,22.44413044
B4,Bridge,B41,B42,1,0.015410471,30,0,750,1000,1175,21.32868739
L4,local street,I1,E1,1,0.231806946,30,0,750,1000,2409,0
L7,local street,E2,R3,1,0.697974339,30,0,750,1000,1804,0
L24,local street,I3,E3,1,0.611603908,30,0,750,1000,3477,0
L21,local street,P4,R5,1,1.04018981,30,0,750,1000,4487,0
L31,local street,"P1
",B51,1,0.622072736,30,0,750,1000,478,0
B5,Bridge,B51,B52,1,0.037981422,30,0,750,1000,478,4.278770759
L92,local street,B61,R4,1,0.928566278,30,0,750,1000,178,0
B6,Bridge,B61,B62,1,0.060880342,30,0,750,1000,178,6.858432635
L121,local street,R3,B71,1,0.944263944,30,0,750,1000,1105,0
B7,Bridge,B71,B72,1,0.048102699,30,0,750,1000,1105,46.448367
B9,Bridge,B91,B92,1,0.035127548,30,0,750,1000,584,5.653242106
L231,local street,I5,B91,1,0.383145866,30,0,750,1000,584,0
B8,Bridge,B81,B82,1,0.02852179,30,0,750,1000,5387,27.54087787
L221,local street,P5,B81,1,0.404156089,30,0,750,1000,5387,0
