NodeID,Zone,NodeDescription,Type
B11,NA,Enter Bridge on W Rock Creek Rd,BridgeNode
B12,NA,Exit Bridge on W Rock Creek Rd,BridgeNode
B21,NA,Enter Bridge on Main St.,BridgeNode
B22,NA,Exit Bridge on Main St.,BridgeNode
B31,NA,Enter Bridge on Lindsey St.,BridgeNode
B32,NA,Exit Bridge on Lindsey St.,BridgeNode
B41,NA,Enter Bridge on HW0,Bridge
B42,NA,Exit Bridge on HW0,Bridge
E1,NA,Hospital,Hospital
E2,NA,North Fire station,Emergency
E3,NA,South Fire station,Emergency
I1,NA,Intersection of I-99 and W Rock Creek Rd,Intersection
I2,NA,Intersection of I-99 and W Robinson St.,Intersection
I3,NA,Intersection of I-99 and Lindsey St.,Intersection
I4,NA,Intersection of I-99 and HW0,Intersection
I5,NA,Intersection of 3rd St. and Main St.,Intersection
I6,NA,Intersection of 1st St. and HW0,Intersection
I7,NA,Intersection of 3rd St. St. and HW0,Intersection
P1,Z10,Light Industry,Public
P2,NA,High School,Public
P3,Z9,West Retail/Business,Public
P4,NA,Community center/Govement offices,Public
P5,Z8,East Retail/Business,Public
P6,NA,Supermarket,Public
P7,Z11,Heavy Industy,Public
R1,Z1,High Inco./Low Den.(HI/LD),Resident
R2,Z7,Mobile home park,Resident
R3,Z6,Low Inco./High Den.(LI/HD) ,Resident
R4,Z3,Med. Inco./Low Den.(MI/LD),Resident
R5,Z4,Med. Inco./High Den.(MI/HD),Resident
R6,Z5,Low Inco./Low Den.(LI/LD) ,Resident
R7,Z2,Med. Inco./Low Den.(MI/LD),Resident
V1,NA,Virtual north node of I-99 ,Virtual 
V2,NA,Virtual south node of I-99 ,Virtual 
V3,NA,Virtual east node of HW0,Virtual 
B51,NA,Enter Birdge 5,BridgeNode
B52,NA,Exit Bridge 5,BridgeNode
B61,NA,Enter Birdge 6,BridgeNode
B62,NA,Exit Bridge 6,BridgeNode
B71,NA,Enter Birdge 7,BridgeNode
B72,NA,Exit Bridge 7,BridgeNode
B92,NA,Enter Birdge 9,BridgeNode
B91,NA,Exit Bridge 9,BridgeNode
B82,NA,Enter Birdge 8,BridgeNode
B81,NA,Exit Bridge 8,BridgeNode
